ax,ay,az,gx,gy,gz,label
-7.0,42.0,108.0,-201.0,2326.0,-1386.0,cuadrado
-7.0,41.0,110.0,854.0,1587.0,-1435.0,cuadrado
-8.0,44.0,99.0,-109.0,1203.0,-1661.0,cuadrado
-11.0,53.0,110.0,677.0,1184.0,-1087.0,cuadrado
-12.0,49.0,117.0,177.0,219.0,-396.0,cuadrado
-13.0,41.0,110.0,116.0,-800.0,-146.0,cuadrado
-12.0,36.0,108.0,-158.0,-1282.0,-348.0,cuadrado
-13.0,31.0,105.0,-372.0,-1728.0,-836.0,cuadrado
-12.0,31.0,103.0,-427.0,-2155.0,-1392.0,cuadrado
-12.0,33.0,97.0,-647.0,-2229.0,-2094.0,cuadrado
-10.0,36.0,95.0,-903.0,-2174.0,-2204.0,cuadrado
-10.0,27.0,99.0,-848.0,-1691.0,-2735.0,cuadrado
-9.0,33.0,102.0,-635.0,-2143.0,-3529.0,cuadrado
-9.0,46.0,92.0,-903.0,-2265.0,-3688.0,cuadrado
-7.0,59.0,85.0,-451.0,-1435.0,-2796.0,cuadrado
-6.0,56.0,92.0,-18.0,-537.0,-1251.0,cuadrado
-5.0,53.0,104.0,506.0,-409.0,-561.0,cuadrado
-7.0,61.0,111.0,-488.0,-726.0,616.0,cuadrado
-6.0,55.0,119.0,335.0,-1398.0,1905.0,cuadrado
-4.0,47.0,118.0,-305.0,-2491.0,2509.0,cuadrado
-1.0,38.0,113.0,-983.0,-3651.0,2363.0,cuadrado
0.0,41.0,100.0,-1752.0,-4378.0,2039.0,cuadrado
1.0,40.0,89.0,-1123.0,-3792.0,2448.0,cuadrado
4.0,34.0,78.0,-1080.0,-2912.0,2467.0,cuadrado
10.0,26.0,72.0,653.0,-977.0,2473.0,cuadrado
12.0,23.0,87.0,329.0,42.0,1465.0,cuadrado

0.0,30.0,101.0,-48.0,-781.0,-1685.0,cuadrado
0.0,38.0,105.0,-714.0,-1227.0,-1777.0,cuadrado
-1.0,37.0,95.0,0.0,-1343.0,-1899.0,cuadrado
0.0,43.0,100.0,-48.0,-1050.0,-1862.0,cuadrado
0.0,40.0,95.0,-439.0,-1068.0,-1673.0,cuadrado
0.0,42.0,103.0,-158.0,-1050.0,-1789.0,cuadrado
1.0,42.0,99.0,-916.0,-1325.0,-1654.0,cuadrado
0.0,44.0,99.0,-146.0,-1190.0,-1465.0,cuadrado
0.0,48.0,99.0,586.0,-1288.0,-1080.0,cuadrado
1.0,50.0,82.0,18.0,-1141.0,-537.0,cuadrado
3.0,49.0,82.0,-262.0,109.0,-445.0,cuadrado
3.0,49.0,92.0,-800.0,500.0,6.0,cuadrado
1.0,40.0,101.0,-690.0,512.0,-6.0,cuadrado
0.0,44.0,101.0,-1050.0,244.0,140.0,cuadrado
0.0,39.0,91.0,-879.0,348.0,177.0,cuadrado
0.0,41.0,99.0,-244.0,683.0,103.0,cuadrado
-1.0,38.0,96.0,-537.0,244.0,30.0,cuadrado
0.0,37.0,90.0,-482.0,574.0,-439.0,cuadrado
-1.0,39.0,91.0,-1135.0,958.0,-311.0,cuadrado
-1.0,45.0,94.0,-158.0,1111.0,274.0,cuadrado
-3.0,33.0,90.0,592.0,1416.0,543.0,cuadrado
-3.0,27.0,99.0,519.0,2149.0,-677.0,cuadrado
-6.0,45.0,109.0,134.0,1251.0,-1410.0,cuadrado
-8.0,51.0,101.0,207.0,1080.0,-1154.0,cuadrado
-10.0,55.0,103.0,232.0,1068.0,-464.0,cuadrado
-10.0,57.0,108.0,274.0,738.0,103.0,cuadrado
-11.0,53.0,98.0,-525.0,146.0,622.0,cuadrado
-10.0,55.0,96.0,-714.0,195.0,958.0,cuadrado
-10.0,54.0,92.0,-769.0,476.0,1722.0,cuadrado
-10.0,43.0,90.0,-476.0,726.0,1990.0,cuadrado
-11.0,45.0,97.0,-170.0,1007.0,1709.0,cuadrado
-14.0,47.0,88.0,-683.0,1337.0,1825.0,cuadrado
-12.0,52.0,105.0,543.0,1575.0,2155.0,cuadrado
-13.0,41.0,100.0,-244.0,793.0,2680.0,cuadrado
-12.0,32.0,97.0,-885.0,720.0,1777.0,cuadrado
-11.0,33.0,98.0,-1496.0,1111.0,586.0,cuadrado
-13.0,50.0,107.0,-586.0,360.0,726.0,cuadrado
-11.0,40.0,107.0,-586.0,134.0,800.0,cuadrado
-9.0,43.0,113.0,-1221.0,-592.0,238.0,cuadrado
-10.0,51.0,122.0,-891.0,-1538.0,256.0,cuadrado

2.0,44.0,95.0,-225.0,1099.0,1740.0,cuadrado
0.0,45.0,102.0,85.0,848.0,1813.0,cuadrado
0.0,42.0,97.0,-360.0,793.0,1880.0,cuadrado
0.0,40.0,103.0,189.0,1007.0,1801.0,cuadrado
-1.0,40.0,100.0,-170.0,476.0,1777.0,cuadrado
-2.0,39.0,100.0,140.0,574.0,1648.0,cuadrado
0.0,37.0,103.0,396.0,317.0,1581.0,cuadrado
0.0,34.0,97.0,335.0,195.0,873.0,cuadrado
0.0,46.0,99.0,-152.0,128.0,677.0,cuadrado
-1.0,41.0,94.0,-97.0,213.0,1001.0,cuadrado
0.0,38.0,97.0,-30.0,458.0,354.0,cuadrado
-1.0,38.0,95.0,-690.0,116.0,85.0,cuadrado
-3.0,34.0,89.0,-598.0,366.0,-445.0,cuadrado
-3.0,44.0,95.0,-641.0,341.0,-470.0,cuadrado
-5.0,41.0,84.0,-299.0,629.0,-470.0,cuadrado
-4.0,43.0,86.0,-586.0,1050.0,-610.0,cuadrado
-3.0,45.0,96.0,116.0,1600.0,-531.0,cuadrado
-2.0,44.0,101.0,299.0,1154.0,-384.0,cuadrado
-6.0,44.0,96.0,-42.0,989.0,-1019.0,cuadrado
-8.0,51.0,95.0,-1001.0,1062.0,-708.0,cuadrado
-9.0,53.0,97.0,800.0,1520.0,-287.0,cuadrado
-11.0,48.0,97.0,-335.0,1148.0,61.0,cuadrado
-11.0,45.0,105.0,561.0,1093.0,-67.0,cuadrado
-10.0,42.0,103.0,-12.0,659.0,-427.0,cuadrado
-13.0,47.0,108.0,97.0,274.0,-812.0,cuadrado
-14.0,46.0,106.0,201.0,-537.0,-769.0,cuadrado
-15.0,43.0,100.0,-427.0,-909.0,-1001.0,cuadrado
-15.0,42.0,95.0,-665.0,-1160.0,-1227.0,cuadrado
-14.0,40.0,102.0,-341.0,-1245.0,-1593.0,cuadrado
-14.0,35.0,94.0,-586.0,-1514.0,-1905.0,cuadrado
-13.0,44.0,89.0,-238.0,-1251.0,-2326.0,cuadrado
-13.0,44.0,93.0,-384.0,-1148.0,-2369.0,cuadrado
-13.0,49.0,96.0,30.0,-1196.0,-2369.0,cuadrado
-14.0,50.0,89.0,-195.0,-1123.0,-2235.0,cuadrado
-14.0,60.0,92.0,-79.0,-903.0,-1740.0,cuadrado
-15.0,63.0,94.0,262.0,-683.0,-995.0,cuadrado
-14.0,63.0,99.0,213.0,-922.0,-91.0,cuadrado
-11.0,64.0,97.0,170.0,-1148.0,329.0,cuadrado
-11.0,61.0,97.0,-256.0,-1068.0,1343.0,cuadrado
-8.0,54.0,112.0,-604.0,-1483.0,1490.0,cuadrado

-11.0,50.0,92.0,-842.0,1648.0,2167.0,cuadrado
-12.0,43.0,99.0,-812.0,1557.0,2314.0,cuadrado
-11.0,38.0,109.0,-225.0,1251.0,1941.0,cuadrado
-11.0,37.0,96.0,-1007.0,641.0,1673.0,cuadrado
-11.0,37.0,104.0,-219.0,891.0,1306.0,cuadrado
-13.0,38.0,105.0,-396.0,293.0,793.0,cuadrado
-12.0,46.0,99.0,-170.0,-36.0,861.0,cuadrado
-10.0,40.0,100.0,476.0,36.0,830.0,cuadrado
-9.0,45.0,101.0,-360.0,-378.0,555.0,cuadrado
-6.0,44.0,108.0,-103.0,-390.0,396.0,cuadrado
-8.0,52.0,114.0,-616.0,-1233.0,372.0,cuadrado
-7.0,52.0,108.0,-714.0,-1856.0,451.0,cuadrado
-6.0,55.0,101.0,-861.0,-2247.0,1013.0,cuadrado
-6.0,49.0,93.0,-1001.0,-2125.0,1178.0,cuadrado
-3.0,47.0,97.0,-720.0,-2198.0,1233.0,cuadrado
-1.0,41.0,95.0,-879.0,-2155.0,1117.0,cuadrado
0.0,43.0,90.0,-873.0,-2180.0,1117.0,cuadrado
1.0,39.0,84.0,-940.0,-1685.0,1050.0,cuadrado
3.0,34.0,86.0,-995.0,-1117.0,598.0,cuadrado
5.0,32.0,89.0,-1441.0,-665.0,195.0,cuadrado
5.0,28.0,94.0,-659.0,-378.0,-476.0,cuadrado
4.0,31.0,105.0,-708.0,-592.0,-1203.0,cuadrado
4.0,32.0,102.0,-427.0,-940.0,-1520.0,cuadrado
4.0,33.0,101.0,-421.0,-1032.0,-1978.0,cuadrado
5.0,37.0,97.0,-1148.0,-1215.0,-2308.0,cuadrado
6.0,36.0,102.0,-323.0,-964.0,-2638.0,cuadrado
5.0,46.0,103.0,-586.0,-1508.0,-2992.0,cuadrado
4.0,56.0,93.0,-48.0,-1367.0,-2644.0,cuadrado
