ax,ay,az,gx,gy,gz,label
1.0,-11.0,114.0,-146.0,122.0,488.0,hechizo2
1.0,-18.0,112.0,-378.0,-482.0,-140.0,hechizo2
0.0,-18.0,106.0,-140.0,-561.0,-586.0,hechizo2
0.0,-20.0,108.0,635.0,-207.0,-775.0,hechizo2
-3.0,-10.0,115.0,-616.0,-775.0,-1044.0,hechizo2
-2.0,-19.0,103.0,-1306.0,-830.0,-1203.0,hechizo2
-1.0,-13.0,109.0,-757.0,-427.0,-2070.0,hechizo2
2.0,-12.0,111.0,-1471.0,-616.0,-2644.0,hechizo2
0.0,2.0,115.0,-574.0,-1001.0,-3248.0,hechizo2
2.0,3.0,106.0,-1361.0,-1380.0,-3193.0,hechizo2
3.0,3.0,96.0,-946.0,-763.0,-3474.0,hechizo2
7.0,13.0,103.0,-1025.0,-79.0,-3413.0,hechizo2
5.0,5.0,105.0,-647.0,73.0,-2613.0,hechizo2
9.0,11.0,105.0,-1166.0,201.0,-2766.0,hechizo2
4.0,15.0,94.0,-830.0,836.0,-1880.0,hechizo2
6.0,18.0,116.0,-1148.0,1770.0,-1520.0,hechizo2
4.0,34.0,132.0,-183.0,506.0,177.0,hechizo2
6.0,17.0,128.0,543.0,-299.0,1795.0,hechizo2
9.0,2.0,146.0,1349.0,-940.0,2015.0,hechizo2
11.0,-15.0,148.0,1422.0,-3053.0,1978.0,hechizo2
12.0,-34.0,129.0,2259.0,-4354.0,751.0,hechizo2
8.0,-40.0,117.0,2387.0,-4800.0,-1349.0,hechizo2
5.0,-37.0,101.0,1887.0,-5245.0,-3694.0,hechizo2
2.0,-29.0,77.0,-1154.0,-4977.0,-5001.0,hechizo2
-1.0,-13.0,63.0,-1587.0,-3847.0,-6735.0,hechizo2
0.0,13.0,40.0,-2564.0,-1832.0,-6192.0,hechizo2
-3.0,38.0,37.0,-2186.0,1429.0,-4854.0,hechizo2
0.0,83.0,62.0,-2448.0,4305.0,-1129.0,hechizo2
5.0,73.0,102.0,372.0,6222.0,3706.0,hechizo2
14.0,15.0,139.0,2406.0,5740.0,5325.0,hechizo2
21.0,-43.0,140.0,1667.0,3859.0,3108.0,hechizo2
20.0,-71.0,157.0,989.0,2180.0,-1563.0,hechizo2
16.0,-64.0,168.0,-201.0,-830.0,-5331.0,hechizo2
2.0,-43.0,137.0,-1490.0,-3688.0,-8610.0,hechizo2
-5.0,15.0,84.0,-1337.0,-3004.0,-9563.0,hechizo2
-5.0,37.0,84.0,-2186.0,-421.0,-8354.0,hechizo2
-7.0,67.0,115.0,-1471.0,195.0,-6198.0,hechizo2
-7.0,64.0,116.0,-238.0,-641.0,-2919.0,hechizo2
0.0,55.0,110.0,-1209.0,-897.0,-201.0,hechizo2
5.0,20.0,104.0,-1007.0,-738.0,1465.0,hechizo2

5.0,0.0,113.0,-415.0,427.0,287.0,hechizo2
4.0,-7.0,109.0,-146.0,0.0,-189.0,hechizo2
4.0,0.0,108.0,-116.0,195.0,-244.0,hechizo2
3.0,-8.0,109.0,-256.0,79.0,36.0,hechizo2
4.0,-20.0,105.0,-751.0,-61.0,12.0,hechizo2
4.0,-23.0,107.0,-549.0,232.0,-555.0,hechizo2
0.0,-20.0,107.0,-500.0,311.0,-1392.0,hechizo2
3.0,-10.0,114.0,-42.0,299.0,-1868.0,hechizo2
-1.0,-8.0,112.0,-451.0,-73.0,-2216.0,hechizo2
1.0,-2.0,111.0,-341.0,-482.0,-2424.0,hechizo2
0.0,0.0,111.0,-1575.0,-1038.0,-2137.0,hechizo2
5.0,2.0,103.0,-1789.0,-1215.0,-2021.0,hechizo2
5.0,0.0,106.0,-3688.0,-1331.0,-2003.0,hechizo2
1.0,10.0,92.0,-2522.0,-561.0,-2204.0,hechizo2
4.0,7.0,99.0,-1563.0,1019.0,-2082.0,hechizo2
5.0,11.0,110.0,-372.0,1887.0,-1642.0,hechizo2
3.0,41.0,136.0,537.0,1386.0,-427.0,hechizo2
3.0,27.0,152.0,396.0,-323.0,2479.0,hechizo2
2.0,-5.0,149.0,861.0,-2406.0,3157.0,hechizo2
5.0,-12.0,130.0,2662.0,-3908.0,2119.0,hechizo2
13.0,-18.0,123.0,2436.0,-4079.0,1990.0,hechizo2
16.0,-16.0,115.0,1758.0,-4934.0,1642.0,hechizo2
16.0,-38.0,104.0,1532.0,-5117.0,109.0,hechizo2
15.0,-33.0,85.0,201.0,-4934.0,-2558.0,hechizo2
15.0,-25.0,77.0,-891.0,-4152.0,-4225.0,hechizo2
13.0,-7.0,68.0,-2204.0,-3523.0,-5801.0,hechizo2
13.0,7.0,45.0,-2106.0,-1282.0,-5801.0,hechizo2
11.0,30.0,55.0,-2741.0,1154.0,-5001.0,hechizo2
3.0,47.0,66.0,-2723.0,3945.0,-3157.0,hechizo2
8.0,44.0,108.0,-201.0,5728.0,897.0,hechizo2
10.0,24.0,123.0,-170.0,4445.0,1746.0,hechizo2
18.0,21.0,124.0,-305.0,3352.0,2528.0,hechizo2
22.0,-21.0,123.0,244.0,3254.0,2308.0,hechizo2
21.0,-39.0,147.0,696.0,2400.0,-482.0,hechizo2
22.0,-33.0,147.0,-366.0,-287.0,-1929.0,hechizo2
10.0,-38.0,122.0,-79.0,-1514.0,-4653.0,hechizo2
8.0,-1.0,117.0,-1575.0,-2204.0,-5465.0,hechizo2
9.0,8.0,80.0,-1728.0,-848.0,-4781.0,hechizo2
8.0,20.0,81.0,-1013.0,1221.0,-3529.0,hechizo2
2.0,-3.0,118.0,177.0,2167.0,-4244.0,hechizo2

8.0,-8.0,131.0,-1148.0,-146.0,702.0,hechizo2
12.0,113.0,206.0,-861.0,-464.0,-140.0,hechizo2
4.0,23.0,137.0,378.0,-1630.0,1038.0,hechizo2
9.0,-27.0,108.0,-1062.0,-3438.0,641.0,hechizo2
8.0,-27.0,56.0,-549.0,-1416.0,-2619.0,hechizo2
6.0,9.0,88.0,561.0,2265.0,-3822.0,hechizo2
1.0,39.0,105.0,170.0,2296.0,-2497.0,hechizo2
-1.0,-5.0,86.0,-1386.0,-415.0,232.0,hechizo2
5.0,-6.0,115.0,-1203.0,-427.0,-1203.0,hechizo2
4.0,-2.0,115.0,-1166.0,-329.0,-2461.0,hechizo2
5.0,15.0,111.0,-1245.0,-348.0,-2418.0,hechizo2
4.0,38.0,102.0,-671.0,30.0,-1251.0,hechizo2
5.0,30.0,104.0,-580.0,268.0,525.0,hechizo2
5.0,35.0,105.0,177.0,604.0,1422.0,hechizo2
7.0,23.0,129.0,250.0,-54.0,3200.0,hechizo2
