ax,ay,az,gx,gy,gz,label
10.0,8.0,46.0,604.0,5429.0,-1435.0,signo
6.0,0.0,145.0,1551.0,6766.0,-427.0,signo
11.0,-12.0,152.0,1074.0,3719.0,183.0,signo
9.0,-7.0,124.0,2735.0,3157.0,-458.0,signo
7.0,-15.0,153.0,757.0,2277.0,-1526.0,signo
4.0,16.0,132.0,922.0,341.0,-763.0,signo
2.0,1.0,110.0,164.0,458.0,-79.0,signo
0.0,1.0,117.0,745.0,738.0,232.0,signo
0.0,0.0,116.0,-1642.0,73.0,54.0,signo
0.0,8.0,106.0,555.0,335.0,488.0,signo
0.0,-11.0,114.0,-341.0,116.0,244.0,signo
0.0,3.0,109.0,-574.0,-158.0,-61.0,signo
0.0,-1.0,106.0,73.0,-189.0,-329.0,signo
0.0,6.0,108.0,-433.0,-140.0,-177.0,signo
0.0,-5.0,121.0,-61.0,-409.0,42.0,signo
0.0,4.0,108.0,-225.0,-396.0,-299.0,signo

28.0,-38.0,89.0,-1050.0,-311.0,-3016.0,signo
26.0,-26.0,99.0,-177.0,-262.0,-4659.0,signo
27.0,-16.0,91.0,-916.0,-201.0,-4824.0,signo
25.0,-10.0,93.0,-415.0,-97.0,-5019.0,signo
27.0,11.0,86.0,-1410.0,512.0,-3926.0,signo
27.0,2.0,71.0,-360.0,1850.0,-2632.0,signo
27.0,3.0,95.0,1001.0,3957.0,-1789.0,signo
26.0,-11.0,108.0,-225.0,3187.0,-1630.0,signo
22.0,-3.0,108.0,-158.0,3181.0,-1856.0,signo
17.0,6.0,123.0,751.0,2803.0,-1923.0,signo
16.0,29.0,116.0,635.0,1398.0,-451.0,signo
12.0,43.0,95.0,1465.0,1758.0,1789.0,signo
16.0,46.0,113.0,2229.0,2296.0,5233.0,signo
13.0,0.0,97.0,1380.0,2003.0,6674.0,signo
16.0,-11.0,121.0,800.0,2778.0,5960.0,signo
14.0,-20.0,147.0,1410.0,1129.0,5019.0,signo
12.0,-30.0,142.0,-134.0,-1190.0,3309.0,signo
10.0,-12.0,134.0,2003.0,-2577.0,1551.0,signo
12.0,1.0,109.0,323.0,-3181.0,1722.0,signo
13.0,-1.0,99.0,1514.0,-2998.0,1654.0,signo
16.0,-1.0,94.0,1606.0,-1764.0,1490.0,signo
16.0,-5.0,98.0,-372.0,-1551.0,1038.0,signo
18.0,2.0,101.0,561.0,-1117.0,1007.0,signo
20.0,-10.0,87.0,-708.0,-1887.0,464.0,signo
20.0,10.0,30.0,989.0,177.0,79.0,signo
19.0,-14.0,105.0,964.0,2601.0,439.0,signo
13.0,1.0,89.0,-1764.0,1398.0,-1502.0,signo
16.0,7.0,116.0,1001.0,3212.0,-1630.0,signo
16.0,22.0,121.0,170.0,2741.0,-1312.0,signo
18.0,14.0,125.0,561.0,2497.0,-207.0,signo
15.0,17.0,119.0,464.0,2094.0,-464.0,signo
10.0,6.0,123.0,415.0,1923.0,-653.0,signo
8.0,23.0,122.0,-525.0,1251.0,-451.0,signo
6.0,16.0,118.0,-225.0,781.0,470.0,signo
5.0,4.0,110.0,-531.0,506.0,79.0,signo
4.0,17.0,104.0,354.0,775.0,0.0,signo
5.0,9.0,117.0,-293.0,519.0,-122.0,signo
4.0,20.0,106.0,-109.0,299.0,42.0,signo
4.0,8.0,110.0,-384.0,317.0,54.0,signo
2.0,18.0,101.0,-164.0,403.0,-12.0,signo

35.0,-39.0,111.0,-1001.0,-3993.0,-598.0,signo
32.0,-50.0,140.0,2222.0,-5111.0,-4054.0,signo
32.0,-49.0,108.0,-2625.0,-7224.0,-6454.0,signo
25.0,-32.0,73.0,-3114.0,-7083.0,-9477.0,signo
29.0,9.0,61.0,-4525.0,-4116.0,-9459.0,signo
33.0,25.0,55.0,-1166.0,-1483.0,-7493.0,signo
35.0,6.0,68.0,-3163.0,1264.0,-6497.0,signo
32.0,36.0,61.0,-5508.0,4170.0,-5532.0,signo
35.0,44.0,80.0,1367.0,6387.0,-3615.0,signo
30.0,34.0,112.0,-293.0,5471.0,-2137.0,signo
28.0,51.0,106.0,1966.0,5404.0,-85.0,signo
29.0,50.0,125.0,3816.0,4635.0,2870.0,signo
30.0,39.0,124.0,2693.0,3022.0,4421.0,signo
28.0,16.0,105.0,1880.0,2754.0,4775.0,signo
26.0,22.0,98.0,2314.0,3322.0,4818.0,signo
21.0,30.0,111.0,1545.0,3529.0,5777.0,signo
22.0,5.0,130.0,2051.0,3029.0,5972.0,signo
23.0,-14.0,147.0,970.0,390.0,4329.0,signo
24.0,-4.0,131.0,1184.0,-830.0,2271.0,signo
23.0,5.0,132.0,745.0,-2357.0,1496.0,signo
22.0,8.0,104.0,1227.0,-2949.0,1141.0,signo
20.0,1.0,65.0,421.0,-2161.0,280.0,signo
23.0,10.0,45.0,-824.0,54.0,-415.0,signo
18.0,9.0,56.0,-916.0,2888.0,30.0,signo
16.0,0.0,96.0,-1587.0,4183.0,-916.0,signo
16.0,16.0,113.0,-2003.0,3358.0,-1386.0,signo
12.0,27.0,115.0,-1050.0,3578.0,-1361.0,signo
15.0,40.0,134.0,-757.0,3041.0,-769.0,signo
14.0,29.0,123.0,-793.0,1923.0,567.0,signo
12.0,18.0,116.0,-439.0,1471.0,335.0,signo
9.0,14.0,105.0,-1477.0,1300.0,170.0,signo
11.0,18.0,120.0,-97.0,1312.0,-170.0,signo
4.0,11.0,69.0,-2864.0,-1435.0,641.0,signo
9.0,27.0,107.0,-238.0,-103.0,250.0,signo
10.0,20.0,107.0,-268.0,-207.0,512.0,signo
8.0,10.0,109.0,61.0,0.0,232.0,signo
7.0,19.0,108.0,48.0,-79.0,-18.0,signo
6.0,17.0,104.0,-73.0,-122.0,-73.0,signo
7.0,18.0,107.0,-378.0,-140.0,97.0,signo
8.0,17.0,109.0,-317.0,-164.0,140.0,signo

18.0,-7.0,115.0,-977.0,-580.0,201.0,signo
19.0,-14.0,120.0,-61.0,-1001.0,238.0,signo
21.0,-25.0,118.0,-317.0,-1764.0,-653.0,signo
20.0,-15.0,105.0,-403.0,-1996.0,-1471.0,signo
22.0,-18.0,106.0,-806.0,-1667.0,-1502.0,signo
22.0,-25.0,104.0,-897.0,-1752.0,-2204.0,signo
19.0,-18.0,97.0,-549.0,-1471.0,-3108.0,signo
21.0,-16.0,96.0,-818.0,-964.0,-3187.0,signo
21.0,-11.0,86.0,-109.0,-317.0,-3706.0,signo
20.0,0.0,90.0,6.0,567.0,-3761.0,signo
19.0,17.0,92.0,421.0,854.0,-3065.0,signo
16.0,11.0,98.0,1111.0,1551.0,-2033.0,signo
17.0,24.0,111.0,1025.0,1154.0,-787.0,signo
18.0,7.0,106.0,879.0,543.0,-268.0,signo
19.0,13.0,95.0,287.0,806.0,-6.0,signo
22.0,14.0,100.0,1447.0,1593.0,415.0,signo
24.0,9.0,106.0,952.0,1483.0,390.0,signo
22.0,21.0,90.0,201.0,1703.0,610.0,signo
21.0,17.0,97.0,775.0,2900.0,1196.0,signo
20.0,23.0,114.0,702.0,2961.0,1844.0,signo
16.0,8.0,120.0,1282.0,2668.0,2271.0,signo
14.0,4.0,136.0,1929.0,1624.0,1331.0,signo
8.0,28.0,120.0,1080.0,128.0,1447.0,signo
5.0,12.0,124.0,842.0,-6.0,2858.0,signo
5.0,2.0,118.0,-97.0,-616.0,2167.0,signo
6.0,6.0,114.0,-116.0,-616.0,2027.0,signo
7.0,-2.0,108.0,-354.0,-708.0,1502.0,signo
6.0,-5.0,98.0,-488.0,-635.0,598.0,signo
6.0,1.0,86.0,-714.0,-164.0,-238.0,signo
6.0,14.0,83.0,-378.0,958.0,-158.0,signo
7.0,0.0,97.0,-348.0,2094.0,-195.0,signo
6.0,13.0,108.0,146.0,1984.0,-989.0,signo
5.0,12.0,104.0,-1215.0,2143.0,-427.0,signo
2.0,15.0,117.0,-146.0,2210.0,-830.0,signo
-3.0,20.0,129.0,-4488.0,-4574.0,940.0,signo
7.0,21.0,114.0,250.0,219.0,-665.0,signo
7.0,10.0,101.0,-1734.0,-732.0,-12.0,signo
7.0,9.0,110.0,-1080.0,-934.0,-152.0,signo
6.0,9.0,108.0,-1044.0,-757.0,-73.0,signo
6.0,7.0,107.0,-775.0,-702.0,-85.0,signo

17.0,3.0,103.0,103.0,738.0,842.0,signo
18.0,-1.0,118.0,-812.0,421.0,1105.0,signo
18.0,7.0,118.0,-952.0,-598.0,1899.0,signo
14.0,-21.0,113.0,24.0,-1062.0,1642.0,signo
15.0,-20.0,110.0,-61.0,-1264.0,464.0,signo
19.0,-10.0,103.0,-403.0,-861.0,238.0,signo
19.0,-21.0,127.0,1044.0,-1770.0,-85.0,signo
20.0,-49.0,130.0,1172.0,-4158.0,-2216.0,signo
12.0,-65.0,111.0,24.0,-6277.0,-5990.0,signo
-3.0,-76.0,61.0,-2112.0,-4702.0,-12323.0,signo
7.0,92.0,44.0,512.0,-201.0,-13166.0,signo
12.0,78.0,39.0,-1667.0,6039.0,-3584.0,signo
1.0,34.0,95.0,3670.0,9062.0,-2955.0,signo
2.0,64.0,96.0,2955.0,9306.0,-671.0,signo
-8.0,35.0,83.0,6174.0,10778.0,1319.0,signo
-15.0,58.0,101.0,5416.0,11883.0,2265.0,signo
-17.0,50.0,144.0,4335.0,10815.0,4702.0,signo
