ax,ay,az,gx,gy,gz,label
-17.0,37.0,109.0,170.0,-3902.0,-7016.0,circulo
-18.0,39.0,98.0,1459.0,-4506.0,-7883.0,circulo
-19.0,55.0,94.0,763.0,-4775.0,-7853.0,circulo
-20.0,71.0,83.0,335.0,-4280.0,-6687.0,circulo
-15.0,63.0,91.0,439.0,-3499.0,-5123.0,circulo
-16.0,67.0,95.0,-970.0,-3987.0,-4042.0,circulo
-18.0,71.0,85.0,134.0,-3517.0,-2717.0,circulo
-18.0,69.0,83.0,-384.0,-2216.0,-647.0,circulo
-14.0,50.0,91.0,-250.0,-1813.0,140.0,circulo

-10.0,64.0,120.0,-1172.0,-5190.0,-4348.0,circulo
-10.0,65.0,118.0,-958.0,-5899.0,-2296.0,circulo
-7.0,60.0,107.0,-1734.0,-6137.0,-616.0,circulo
-3.0,57.0,110.0,-1441.0,-6387.0,983.0,circulo
0.0,44.0,100.0,-946.0,-6241.0,2155.0,circulo
3.0,43.0,89.0,-818.0,-5941.0,2790.0,circulo
8.0,38.0,90.0,91.0,-4970.0,3474.0,circulo
13.0,39.0,87.0,-1129.0,-4506.0,4128.0,circulo
17.0,36.0,86.0,-885.0,-3505.0,4854.0,circulo
22.0,29.0,88.0,-1093.0,-2931.0,5056.0,circulo
23.0,29.0,87.0,-812.0,-2174.0,5264.0,circulo
24.0,28.0,84.0,-1245.0,-1587.0,5850.0,circulo
26.0,24.0,81.0,-1001.0,-824.0,6516.0,circulo
30.0,17.0,92.0,-470.0,-183.0,6528.0,circulo
31.0,6.0,91.0,-683.0,97.0,6674.0,circulo
32.0,7.0,89.0,-67.0,574.0,6106.0,circulo
33.0,0.0,85.0,-244.0,1337.0,6064.0,circulo
33.0,-1.0,83.0,476.0,2302.0,5251.0,circulo
31.0,-2.0,86.0,830.0,3389.0,4879.0,circulo
26.0,-4.0,81.0,152.0,4525.0,4311.0,circulo
26.0,-8.0,104.0,1465.0,5575.0,3792.0,circulo
21.0,-12.0,94.0,690.0,5606.0,2320.0,circulo
15.0,-3.0,94.0,1746.0,6357.0,1105.0,circulo
6.0,-4.0,97.0,1148.0,7309.0,604.0,circulo
