ax,ay,az,gx,gy,gz,label
8.0,-17.0,109.0,818.0,-1270.0,-2186.0,ele
10.0,-11.0,107.0,-842.0,-1410.0,-2473.0,ele
9.0,-16.0,102.0,-940.0,-1435.0,-3206.0,ele
9.0,6.0,95.0,-1337.0,-653.0,-3456.0,ele
10.0,-5.0,108.0,-1044.0,-378.0,-3444.0,ele
11.0,15.0,97.0,842.0,-6.0,-3499.0,ele
9.0,3.0,108.0,-409.0,-36.0,-2534.0,ele
10.0,17.0,103.0,-1068.0,-177.0,-2277.0,ele
10.0,10.0,104.0,-207.0,299.0,-1386.0,ele
11.0,12.0,110.0,-341.0,421.0,-683.0,ele
10.0,5.0,110.0,262.0,152.0,79.0,ele
11.0,-4.0,110.0,-653.0,85.0,91.0,ele
11.0,-1.0,111.0,116.0,67.0,-103.0,ele
11.0,0.0,111.0,-757.0,-122.0,244.0,ele
11.0,-2.0,109.0,-97.0,-323.0,73.0,ele

27.0,-1.0,90.0,-824.0,-207.0,-73.0,ele
27.0,-6.0,106.0,-1074.0,24.0,61.0,ele
26.0,-3.0,101.0,-635.0,-439.0,189.0,ele
27.0,-6.0,95.0,-274.0,-580.0,323.0,ele
25.0,-12.0,88.0,67.0,-85.0,128.0,ele
24.0,-5.0,89.0,-610.0,494.0,-354.0,ele
24.0,-10.0,87.0,-109.0,1483.0,-6.0,ele
24.0,-2.0,91.0,647.0,1654.0,-653.0,ele
24.0,1.0,91.0,-1367.0,2552.0,946.0,ele
20.0,-9.0,109.0,1264.0,2925.0,427.0,ele
18.0,-14.0,110.0,555.0,3047.0,-54.0,ele
16.0,-2.0,120.0,848.0,2699.0,-696.0,ele
14.0,-11.0,125.0,-1025.0,2229.0,-409.0,ele
15.0,-1.0,125.0,934.0,854.0,-1288.0,ele
13.0,4.0,111.0,-1386.0,1044.0,-299.0,ele
12.0,1.0,118.0,732.0,903.0,232.0,ele
10.0,-6.0,114.0,-299.0,1068.0,543.0,ele
8.0,-14.0,121.0,861.0,622.0,-506.0,ele
8.0,-1.0,125.0,-250.0,91.0,-537.0,ele
8.0,-9.0,120.0,109.0,-769.0,-280.0,ele
6.0,-12.0,113.0,91.0,-1276.0,-842.0,ele
7.0,-10.0,106.0,-433.0,-1007.0,-1294.0,ele
8.0,-8.0,112.0,-183.0,-873.0,-1819.0,ele
10.0,-2.0,106.0,-134.0,-1227.0,-1679.0,ele
12.0,-2.0,103.0,103.0,-940.0,-1563.0,ele
11.0,-5.0,107.0,-1374.0,-787.0,-1361.0,ele
