ax,ay,az,gx,gy,gz,label
-1.0,64.0,84.0,189.0,-1196.0,-470.0,linea
0.0,67.0,85.0,-470.0,-1575.0,-598.0,linea
0.0,65.0,76.0,-506.0,-1520.0,-683.0,linea
0.0,66.0,78.0,-537.0,-1227.0,-836.0,linea
0.0,63.0,79.0,-616.0,-1105.0,-665.0,linea
0.0,66.0,80.0,-561.0,-842.0,-867.0,linea
0.0,62.0,84.0,-287.0,-916.0,-867.0,linea
0.0,66.0,80.0,-567.0,-1068.0,-909.0,linea
0.0,63.0,80.0,-42.0,-800.0,-970.0,linea
0.0,65.0,82.0,-293.0,-830.0,-1062.0,linea
0.0,69.0,78.0,-244.0,-696.0,-928.0,linea
-1.0,73.0,81.0,-604.0,-500.0,-409.0,linea
0.0,59.0,80.0,-354.0,-256.0,-109.0,linea
0.0,67.0,87.0,-433.0,-439.0,-555.0,linea
0.0,65.0,81.0,-848.0,-745.0,-323.0,linea
0.0,62.0,82.0,-512.0,-500.0,-702.0,linea
0.0,71.0,83.0,-543.0,-677.0,-488.0,linea
0.0,66.0,81.0,-403.0,-500.0,-274.0,linea
0.0,67.0,81.0,-635.0,-470.0,-311.0,linea
0.0,66.0,80.0,-610.0,-421.0,-128.0,linea
0.0,66.0,81.0,-262.0,-201.0,-61.0,linea

-13.0,67.0,80.0,-934.0,-1978.0,1196.0,linea
-9.0,64.0,81.0,-366.0,-1447.0,1251.0,linea
-7.0,60.0,81.0,-1154.0,-1184.0,1392.0,linea
-6.0,60.0,86.0,-122.0,-848.0,1154.0,linea
-4.0,61.0,87.0,-1111.0,-1239.0,1496.0,linea
-4.0,60.0,84.0,-1111.0,-1239.0,1184.0,linea
-2.0,59.0,85.0,-1154.0,-1306.0,1355.0,linea
0.0,58.0,85.0,-1129.0,-983.0,1184.0,linea
0.0,56.0,87.0,-940.0,-1074.0,1184.0,linea
2.0,56.0,88.0,-1258.0,-1245.0,1044.0,linea
3.0,54.0,86.0,-714.0,-1062.0,708.0,linea
3.0,60.0,89.0,-561.0,-1258.0,909.0,linea
5.0,55.0,87.0,-653.0,-1093.0,922.0,linea
6.0,58.0,87.0,-604.0,-1270.0,861.0,linea
7.0,56.0,84.0,-653.0,-995.0,989.0,linea
9.0,54.0,88.0,-580.0,-861.0,885.0,linea
10.0,56.0,88.0,-629.0,-989.0,861.0,linea
10.0,57.0,88.0,-769.0,-818.0,592.0,linea
12.0,54.0,87.0,-427.0,-683.0,671.0,linea
13.0,54.0,90.0,-476.0,-726.0,427.0,linea
12.0,55.0,86.0,-384.0,-745.0,311.0,linea
15.0,56.0,88.0,-586.0,-616.0,415.0,linea
14.0,56.0,89.0,-415.0,-580.0,225.0,linea
15.0,57.0,88.0,-494.0,-635.0,341.0,linea
15.0,53.0,85.0,-464.0,-500.0,323.0,linea
17.0,53.0,86.0,-396.0,-421.0,158.0,linea
16.0,57.0,85.0,-494.0,-207.0,213.0,linea
14.0,52.0,87.0,-574.0,-36.0,73.0,linea
17.0,55.0,89.0,-451.0,-61.0,-128.0,linea
16.0,56.0,89.0,-555.0,-116.0,-109.0,linea
16.0,59.0,91.0,-250.0,-152.0,-54.0,linea
15.0,56.0,89.0,-366.0,-323.0,122.0,linea
16.0,56.0,87.0,-525.0,-238.0,97.0,linea
16.0,57.0,87.0,-458.0,-79.0,195.0,linea
17.0,54.0,91.0,-665.0,-140.0,201.0,linea
18.0,53.0,91.0,-580.0,-354.0,85.0,linea
16.0,54.0,87.0,-586.0,-329.0,-30.0,linea
17.0,58.0,88.0,-665.0,-250.0,-24.0,linea
16.0,54.0,85.0,-586.0,-158.0,54.0,linea
15.0,60.0,92.0,48.0,-12.0,61.0,linea

-14.0,57.0,91.0,-549.0,-745.0,757.0,linea
-12.0,49.0,89.0,-854.0,-604.0,403.0,linea
-12.0,59.0,95.0,-1215.0,-842.0,604.0,linea
-12.0,50.0,92.0,-1545.0,-1276.0,610.0,linea
-10.0,53.0,91.0,-1007.0,-1227.0,494.0,linea
-8.0,47.0,97.0,-18.0,-1325.0,403.0,linea
-7.0,55.0,96.0,-787.0,-1728.0,134.0,linea
-8.0,53.0,89.0,-873.0,-1832.0,525.0,linea
-6.0,56.0,92.0,-812.0,-1563.0,616.0,linea
-4.0,54.0,91.0,-909.0,-1569.0,1129.0,linea
-3.0,52.0,89.0,-1001.0,-1349.0,1141.0,linea
0.0,49.0,92.0,-1300.0,-1367.0,824.0,linea
0.0,54.0,94.0,-1117.0,-1508.0,989.0,linea
0.0,50.0,90.0,-1227.0,-1245.0,1117.0,linea
3.0,50.0,92.0,-787.0,-1160.0,1148.0,linea
4.0,48.0,96.0,-958.0,-1270.0,1087.0,linea
5.0,48.0,95.0,-903.0,-1337.0,1172.0,linea
7.0,44.0,94.0,-824.0,-1312.0,1056.0,linea
8.0,48.0,95.0,-714.0,-1349.0,1080.0,linea
9.0,45.0,93.0,-671.0,-1325.0,1062.0,linea
11.0,45.0,92.0,-800.0,-1203.0,916.0,linea
12.0,43.0,90.0,-683.0,-970.0,812.0,linea
13.0,47.0,93.0,-769.0,-665.0,720.0,linea
14.0,42.0,94.0,-598.0,-555.0,842.0,linea
15.0,45.0,95.0,-781.0,-531.0,574.0,linea
14.0,39.0,95.0,-903.0,-604.0,506.0,linea
14.0,44.0,93.0,-555.0,-671.0,219.0,linea
16.0,46.0,93.0,-610.0,-458.0,598.0,linea
16.0,38.0,97.0,-250.0,-238.0,164.0,linea
17.0,50.0,99.0,-708.0,-726.0,415.0,linea
17.0,38.0,95.0,-494.0,-519.0,225.0,linea
19.0,47.0,97.0,-714.0,-610.0,244.0,linea
18.0,40.0,91.0,-806.0,-531.0,183.0,linea
18.0,45.0,95.0,-751.0,-384.0,244.0,linea
18.0,43.0,97.0,-696.0,-305.0,207.0,linea
19.0,43.0,97.0,-433.0,-390.0,341.0,linea
18.0,44.0,95.0,-555.0,-451.0,360.0,linea
20.0,42.0,95.0,-598.0,-396.0,274.0,linea
19.0,41.0,96.0,-512.0,-421.0,274.0,linea
21.0,40.0,97.0,-445.0,-403.0,170.0,linea

14.0,47.0,89.0,-629.0,79.0,0.0,linea
12.0,54.0,89.0,-781.0,170.0,30.0,linea
11.0,46.0,86.0,-384.0,604.0,61.0,linea
11.0,48.0,91.0,-91.0,800.0,-458.0,linea
10.0,47.0,90.0,-116.0,677.0,-622.0,linea
9.0,51.0,90.0,-134.0,818.0,-806.0,linea
8.0,51.0,91.0,73.0,958.0,-922.0,linea
6.0,58.0,94.0,-24.0,928.0,-854.0,linea
5.0,55.0,95.0,-91.0,610.0,-439.0,linea
5.0,53.0,92.0,-79.0,500.0,-470.0,linea
5.0,56.0,91.0,-201.0,433.0,-488.0,linea
5.0,50.0,85.0,-201.0,561.0,-482.0,linea
4.0,51.0,85.0,-103.0,946.0,-909.0,linea
1.0,53.0,89.0,73.0,1282.0,-885.0,linea
0.0,55.0,93.0,42.0,1367.0,-952.0,linea
-1.0,53.0,93.0,116.0,1105.0,-989.0,linea
-3.0,56.0,88.0,-403.0,903.0,-916.0,linea
-5.0,54.0,83.0,-421.0,1447.0,-952.0,linea
-7.0,58.0,92.0,54.0,1667.0,-1044.0,linea
-7.0,55.0,94.0,103.0,1312.0,-952.0,linea
-9.0,54.0,92.0,67.0,903.0,-1056.0,linea
-8.0,57.0,92.0,-116.0,732.0,-1477.0,linea
-13.0,65.0,90.0,-305.0,427.0,-854.0,linea
-13.0,56.0,88.0,-61.0,464.0,-512.0,linea
-14.0,55.0,83.0,-476.0,427.0,-580.0,linea
-15.0,55.0,83.0,-189.0,928.0,-580.0,linea
-16.0,54.0,88.0,-653.0,970.0,-604.0,linea
-17.0,58.0,93.0,-451.0,818.0,-629.0,linea
-18.0,59.0,91.0,-885.0,232.0,-378.0,linea
-17.0,55.0,86.0,-922.0,140.0,-225.0,linea
-17.0,54.0,84.0,-531.0,488.0,-280.0,linea
-18.0,50.0,87.0,-714.0,635.0,-433.0,linea
-17.0,54.0,94.0,-763.0,335.0,-732.0,linea
-18.0,52.0,90.0,-781.0,48.0,-751.0,linea
-21.0,59.0,90.0,-354.0,146.0,-818.0,linea
-23.0,57.0,87.0,-238.0,152.0,-525.0,linea
-23.0,60.0,89.0,-189.0,335.0,18.0,linea
-21.0,55.0,92.0,-470.0,30.0,170.0,linea
-21.0,57.0,87.0,-158.0,-219.0,287.0,linea
-21.0,54.0,85.0,-213.0,-103.0,372.0,linea

-5.0,70.0,83.0,24.0,861.0,1093.0,linea
-6.0,63.0,83.0,-421.0,1227.0,1392.0,linea
-6.0,63.0,88.0,-506.0,1196.0,1728.0,linea
-5.0,58.0,88.0,-427.0,1148.0,1697.0,linea
-4.0,53.0,85.0,-451.0,1141.0,1343.0,linea
-5.0,60.0,85.0,-323.0,1209.0,1019.0,linea
-6.0,60.0,85.0,-482.0,1319.0,1374.0,linea
-5.0,59.0,90.0,-42.0,1099.0,1074.0,linea
-6.0,64.0,82.0,-445.0,970.0,1245.0,linea
-6.0,64.0,85.0,-323.0,1349.0,1319.0,linea
-7.0,66.0,89.0,-54.0,1099.0,1801.0,linea
-6.0,60.0,83.0,-549.0,1025.0,1862.0,linea
-6.0,64.0,88.0,-445.0,1044.0,1874.0,linea
-6.0,59.0,82.0,-537.0,1019.0,1978.0,linea
-5.0,60.0,86.0,-433.0,1068.0,1740.0,linea
-6.0,59.0,83.0,-586.0,1166.0,1691.0,linea
-5.0,60.0,89.0,-635.0,1111.0,1624.0,linea
-5.0,61.0,85.0,-683.0,1087.0,1404.0,linea
-6.0,62.0,83.0,-708.0,1013.0,1545.0,linea
-6.0,62.0,86.0,-525.0,1105.0,1416.0,linea
-4.0,62.0,81.0,-525.0,1190.0,1618.0,linea
-6.0,63.0,84.0,-390.0,1447.0,1447.0,linea
-5.0,63.0,88.0,-537.0,1166.0,1661.0,linea
-6.0,64.0,85.0,-677.0,1007.0,1832.0,linea
-6.0,60.0,84.0,-73.0,1099.0,1758.0,linea
-4.0,60.0,87.0,-439.0,909.0,1575.0,linea
-5.0,61.0,83.0,-629.0,970.0,1483.0,linea
-5.0,65.0,85.0,-494.0,940.0,1581.0,linea
-5.0,61.0,84.0,-482.0,940.0,1679.0,linea
-5.0,61.0,86.0,-250.0,873.0,1581.0,linea
-4.0,57.0,85.0,-262.0,879.0,1325.0,linea
-5.0,62.0,89.0,-238.0,812.0,1080.0,linea
-5.0,62.0,84.0,-629.0,494.0,1117.0,linea
-4.0,61.0,84.0,-354.0,708.0,983.0,linea
-5.0,61.0,85.0,-604.0,567.0,995.0,linea
-5.0,59.0,83.0,-317.0,531.0,861.0,linea
-4.0,62.0,85.0,-494.0,476.0,696.0,linea
-4.0,60.0,83.0,-445.0,366.0,726.0,linea
-4.0,62.0,87.0,-219.0,433.0,586.0,linea
-4.0,61.0,86.0,-537.0,116.0,512.0,linea

-8.0,56.0,90.0,122.0,616.0,445.0,linea
-7.0,58.0,86.0,-91.0,567.0,525.0,linea
-8.0,61.0,86.0,-177.0,885.0,665.0,linea
-9.0,59.0,89.0,-323.0,891.0,916.0,linea
-9.0,62.0,91.0,-348.0,757.0,1245.0,linea
-10.0,56.0,89.0,-238.0,738.0,1319.0,linea
-9.0,58.0,89.0,-30.0,476.0,1380.0,linea
-10.0,57.0,87.0,-109.0,494.0,1374.0,linea
-9.0,58.0,87.0,-268.0,586.0,1435.0,linea
-8.0,57.0,89.0,-329.0,671.0,1563.0,linea
-9.0,58.0,86.0,-134.0,806.0,1477.0,linea
-8.0,58.0,90.0,-409.0,781.0,1520.0,linea
-9.0,60.0,88.0,-708.0,549.0,1465.0,linea
-8.0,57.0,86.0,-830.0,396.0,1392.0,linea
-7.0,64.0,86.0,-745.0,335.0,1483.0,linea
-7.0,56.0,82.0,-549.0,683.0,1581.0,linea
-6.0,61.0,87.0,-702.0,775.0,1709.0,linea
-7.0,57.0,84.0,-476.0,1013.0,1832.0,linea
-7.0,58.0,88.0,-671.0,983.0,1825.0,linea
-6.0,53.0,88.0,-665.0,885.0,1642.0,linea
