ax,ay,az,gx,gy,gz,label
3.0,58.0,89.0,-409.0,-134.0,91.0,reposo
4.0,54.0,90.0,-427.0,-122.0,54.0,reposo
4.0,58.0,89.0,-635.0,-122.0,-158.0,reposo
4.0,59.0,90.0,-500.0,-134.0,42.0,reposo
4.0,54.0,89.0,-384.0,-152.0,109.0,reposo
3.0,57.0,88.0,-451.0,-122.0,-158.0,reposo
3.0,58.0,91.0,-818.0,-128.0,-73.0,reposo
4.0,58.0,90.0,-745.0,-219.0,73.0,reposo
4.0,58.0,89.0,-830.0,-250.0,152.0,reposo
4.0,55.0,90.0,-641.0,-170.0,79.0,reposo
4.0,57.0,88.0,-561.0,-158.0,36.0,reposo
4.0,53.0,90.0,-341.0,-67.0,103.0,reposo
4.0,56.0,91.0,-421.0,-103.0,36.0,reposo
3.0,58.0,90.0,-439.0,-128.0,54.0,reposo
3.0,55.0,91.0,-451.0,-140.0,158.0,reposo

7.0,59.0,88.0,-433.0,-140.0,12.0,reposo
6.0,60.0,88.0,-445.0,-140.0,24.0,reposo
6.0,58.0,87.0,-439.0,-122.0,30.0,reposo
6.0,59.0,87.0,-415.0,-140.0,18.0,reposo
6.0,59.0,87.0,-439.0,-116.0,30.0,reposo
6.0,59.0,87.0,-421.0,-128.0,18.0,reposo
6.0,59.0,87.0,-433.0,-128.0,36.0,reposo
6.0,59.0,86.0,-445.0,-140.0,30.0,reposo
7.0,59.0,87.0,-421.0,-128.0,36.0,reposo
6.0,59.0,88.0,-433.0,-128.0,30.0,reposo
6.0,60.0,85.0,-439.0,-134.0,30.0,reposo
7.0,58.0,87.0,-427.0,-158.0,36.0,reposo
6.0,59.0,87.0,-451.0,-140.0,30.0,reposo
7.0,58.0,88.0,-439.0,-134.0,42.0,reposo
7.0,58.0,88.0,-433.0,-134.0,42.0,reposo
6.0,59.0,87.0,-439.0,-134.0,42.0,reposo
6.0,59.0,86.0,-445.0,-152.0,24.0,reposo
7.0,60.0,88.0,-415.0,-146.0,30.0,reposo
7.0,59.0,87.0,-409.0,-140.0,12.0,reposo
7.0,59.0,87.0,-451.0,-146.0,12.0,reposo
6.0,59.0,87.0,-445.0,-140.0,48.0,reposo
7.0,59.0,87.0,-415.0,-134.0,18.0,reposo
6.0,59.0,87.0,-427.0,-152.0,30.0,reposo
7.0,59.0,88.0,-421.0,-134.0,36.0,reposo
7.0,60.0,88.0,-433.0,-128.0,36.0,reposo
6.0,59.0,87.0,-415.0,-140.0,24.0,reposo
6.0,59.0,87.0,-433.0,-134.0,48.0,reposo
7.0,59.0,88.0,-445.0,-134.0,48.0,reposo
7.0,59.0,86.0,-409.0,-134.0,24.0,reposo
7.0,59.0,87.0,-415.0,-134.0,24.0,reposo
6.0,59.0,88.0,-421.0,-116.0,18.0,reposo
7.0,59.0,87.0,-427.0,-146.0,0.0,reposo
7.0,60.0,87.0,-433.0,-146.0,42.0,reposo
6.0,59.0,87.0,-445.0,-140.0,48.0,reposo
6.0,59.0,88.0,-433.0,-152.0,48.0,reposo
7.0,59.0,86.0,-451.0,-140.0,18.0,reposo
7.0,59.0,87.0,-433.0,-152.0,24.0,reposo
7.0,59.0,87.0,-439.0,-128.0,36.0,reposo
6.0,59.0,88.0,-439.0,-134.0,42.0,reposo
6.0,60.0,87.0,-415.0,-128.0,36.0,reposo

6.0,59.0,87.0,-421.0,-134.0,18.0,reposo
6.0,59.0,87.0,-415.0,-134.0,24.0,reposo
7.0,59.0,88.0,-409.0,-140.0,12.0,reposo
6.0,59.0,87.0,-433.0,-134.0,48.0,reposo
6.0,59.0,87.0,-458.0,-128.0,48.0,reposo
6.0,59.0,87.0,-415.0,-116.0,18.0,reposo
7.0,59.0,87.0,-427.0,-128.0,18.0,reposo
7.0,59.0,87.0,-421.0,-116.0,30.0,reposo
6.0,59.0,87.0,-451.0,-146.0,54.0,reposo
6.0,59.0,87.0,-415.0,-146.0,42.0,reposo
6.0,58.0,88.0,-427.0,-140.0,18.0,reposo
6.0,59.0,87.0,-421.0,-134.0,24.0,reposo
7.0,59.0,88.0,-415.0,-146.0,24.0,reposo
6.0,59.0,88.0,-421.0,-134.0,30.0,reposo
7.0,59.0,88.0,-445.0,-122.0,6.0,reposo
7.0,59.0,87.0,-415.0,-128.0,36.0,reposo
7.0,60.0,87.0,-433.0,-134.0,42.0,reposo
6.0,59.0,87.0,-433.0,-128.0,42.0,reposo
6.0,59.0,86.0,-415.0,-134.0,30.0,reposo
6.0,59.0,87.0,-433.0,-134.0,24.0,reposo
7.0,59.0,86.0,-433.0,-116.0,18.0,reposo
7.0,59.0,87.0,-445.0,-134.0,12.0,reposo
6.0,59.0,88.0,-439.0,-122.0,30.0,reposo
7.0,59.0,87.0,-439.0,-128.0,18.0,reposo
6.0,60.0,87.0,-433.0,-146.0,24.0,reposo
7.0,60.0,86.0,-445.0,-140.0,42.0,reposo
6.0,59.0,87.0,-451.0,-134.0,24.0,reposo
6.0,59.0,88.0,-415.0,-140.0,48.0,reposo
7.0,59.0,87.0,-427.0,-134.0,54.0,reposo
6.0,59.0,87.0,-445.0,-128.0,30.0,reposo
6.0,59.0,87.0,-445.0,-152.0,12.0,reposo
7.0,60.0,87.0,-427.0,-134.0,18.0,reposo
6.0,59.0,86.0,-421.0,-140.0,30.0,reposo
7.0,59.0,88.0,-439.0,-134.0,18.0,reposo
7.0,59.0,88.0,-433.0,-128.0,42.0,reposo
6.0,59.0,87.0,-421.0,-128.0,42.0,reposo
7.0,59.0,86.0,-433.0,-140.0,6.0,reposo
7.0,59.0,87.0,-433.0,-152.0,24.0,reposo
6.0,59.0,87.0,-427.0,-134.0,36.0,reposo
6.0,59.0,87.0,-415.0,-128.0,24.0,reposo

7.0,60.0,86.0,-464.0,-128.0,12.0,reposo
7.0,59.0,85.0,-415.0,-140.0,30.0,reposo
6.0,59.0,87.0,-439.0,-128.0,24.0,reposo
7.0,59.0,88.0,-427.0,-116.0,24.0,reposo
8.0,58.0,88.0,-439.0,-140.0,42.0,reposo
8.0,59.0,88.0,-439.0,-134.0,36.0,reposo
7.0,60.0,86.0,-458.0,-128.0,0.0,reposo
7.0,59.0,87.0,-421.0,-128.0,24.0,reposo
8.0,59.0,87.0,-439.0,-146.0,36.0,reposo
7.0,56.0,89.0,-384.0,-128.0,24.0,reposo
7.0,60.0,86.0,-451.0,-140.0,36.0,reposo
7.0,59.0,88.0,-421.0,-122.0,24.0,reposo
7.0,60.0,87.0,-427.0,-134.0,36.0,reposo
7.0,59.0,88.0,-445.0,-140.0,30.0,reposo
7.0,59.0,87.0,-458.0,-128.0,24.0,reposo
7.0,60.0,87.0,-445.0,-134.0,30.0,reposo
6.0,59.0,87.0,-433.0,-128.0,42.0,reposo
7.0,59.0,87.0,-445.0,-152.0,48.0,reposo
6.0,59.0,87.0,-421.0,-128.0,18.0,reposo
7.0,59.0,87.0,-421.0,-128.0,30.0,reposo
7.0,59.0,87.0,-433.0,-140.0,24.0,reposo
8.0,60.0,88.0,-439.0,-128.0,12.0,reposo
7.0,60.0,87.0,-433.0,-134.0,6.0,reposo
6.0,59.0,87.0,-421.0,-134.0,36.0,reposo
7.0,60.0,87.0,-433.0,-152.0,36.0,reposo
7.0,59.0,88.0,-415.0,-164.0,12.0,reposo
7.0,59.0,88.0,-439.0,-146.0,42.0,reposo
7.0,59.0,85.0,-451.0,-140.0,24.0,reposo
7.0,59.0,87.0,-445.0,-140.0,36.0,reposo
8.0,59.0,87.0,-439.0,-140.0,36.0,reposo
7.0,59.0,87.0,-427.0,-116.0,30.0,reposo
5.0,60.0,80.0,-458.0,-134.0,6.0,reposo
5.0,58.0,84.0,-396.0,-128.0,30.0,reposo
8.0,60.0,87.0,-427.0,-140.0,36.0,reposo
8.0,60.0,88.0,-433.0,-128.0,48.0,reposo
7.0,60.0,86.0,-427.0,-103.0,42.0,reposo
7.0,59.0,87.0,-439.0,-128.0,6.0,reposo
3.0,58.0,82.0,-464.0,-134.0,24.0,reposo
7.0,60.0,86.0,-403.0,-134.0,12.0,reposo
8.0,58.0,91.0,-390.0,-146.0,61.0,reposo

7.0,58.0,87.0,-433.0,-134.0,18.0,reposo
6.0,59.0,86.0,-439.0,-134.0,30.0,reposo
8.0,59.0,88.0,-427.0,-128.0,24.0,reposo
7.0,59.0,87.0,-427.0,-134.0,24.0,reposo
7.0,59.0,87.0,-433.0,-122.0,18.0,reposo
7.0,58.0,87.0,-427.0,-140.0,24.0,reposo
8.0,59.0,88.0,-433.0,-134.0,30.0,reposo
7.0,60.0,87.0,-427.0,-134.0,18.0,reposo
7.0,59.0,88.0,-433.0,-128.0,30.0,reposo
7.0,59.0,88.0,-427.0,-122.0,24.0,reposo
7.0,59.0,88.0,-415.0,-134.0,36.0,reposo
6.0,59.0,87.0,-433.0,-140.0,36.0,reposo
7.0,59.0,87.0,-427.0,-152.0,24.0,reposo
7.0,59.0,87.0,-439.0,-140.0,36.0,reposo
8.0,60.0,87.0,-445.0,-152.0,30.0,reposo
7.0,59.0,87.0,-439.0,-134.0,24.0,reposo
7.0,59.0,87.0,-439.0,-128.0,18.0,reposo
7.0,60.0,87.0,-427.0,-122.0,42.0,reposo
7.0,59.0,87.0,-421.0,-140.0,24.0,reposo
8.0,59.0,87.0,-433.0,-140.0,0.0,reposo
7.0,59.0,87.0,-433.0,-146.0,18.0,reposo
7.0,59.0,87.0,-439.0,-146.0,18.0,reposo
7.0,60.0,87.0,-433.0,-122.0,30.0,reposo
7.0,59.0,86.0,-427.0,-152.0,24.0,reposo
7.0,59.0,88.0,-439.0,-128.0,12.0,reposo
7.0,59.0,87.0,-421.0,-128.0,24.0,reposo
7.0,59.0,87.0,-421.0,-140.0,12.0,reposo
7.0,60.0,87.0,-415.0,-140.0,36.0,reposo
7.0,58.0,89.0,-439.0,-146.0,42.0,reposo
7.0,59.0,87.0,-439.0,-146.0,42.0,reposo
7.0,59.0,87.0,-433.0,-158.0,24.0,reposo
7.0,59.0,88.0,-458.0,-140.0,18.0,reposo
7.0,59.0,88.0,-439.0,-152.0,18.0,reposo
7.0,59.0,88.0,-445.0,-122.0,6.0,reposo
7.0,59.0,87.0,-439.0,-122.0,18.0,reposo
7.0,59.0,88.0,-427.0,-140.0,48.0,reposo
6.0,59.0,88.0,-409.0,-146.0,36.0,reposo
7.0,59.0,87.0,-415.0,-140.0,6.0,reposo
8.0,58.0,87.0,-445.0,-146.0,30.0,reposo
7.0,60.0,86.0,-451.0,-152.0,30.0,reposo

6.0,55.0,90.0,-372.0,-116.0,54.0,reposo
6.0,56.0,91.0,-433.0,-109.0,61.0,reposo
6.0,56.0,91.0,-409.0,-128.0,73.0,reposo
6.0,56.0,90.0,-427.0,-140.0,48.0,reposo
6.0,56.0,90.0,-415.0,-128.0,24.0,reposo
6.0,55.0,91.0,-378.0,-134.0,48.0,reposo
6.0,56.0,90.0,-445.0,-134.0,42.0,reposo
6.0,56.0,90.0,-439.0,-97.0,42.0,reposo
6.0,57.0,90.0,-427.0,-134.0,48.0,reposo
6.0,56.0,90.0,-433.0,-122.0,42.0,reposo
7.0,56.0,91.0,-464.0,-134.0,48.0,reposo
7.0,57.0,90.0,-341.0,-122.0,54.0,reposo
6.0,56.0,89.0,-439.0,-109.0,42.0,reposo
7.0,56.0,90.0,-433.0,-134.0,54.0,reposo
6.0,56.0,90.0,-403.0,-134.0,54.0,reposo
6.0,55.0,90.0,-451.0,-122.0,48.0,reposo
6.0,56.0,90.0,-421.0,-116.0,36.0,reposo
6.0,56.0,90.0,-439.0,-140.0,36.0,reposo
6.0,56.0,90.0,-415.0,-146.0,6.0,reposo
6.0,56.0,91.0,-415.0,-109.0,54.0,reposo
7.0,55.0,90.0,-427.0,-140.0,48.0,reposo
6.0,55.0,91.0,-445.0,-128.0,54.0,reposo
6.0,56.0,90.0,-433.0,-140.0,36.0,reposo
6.0,56.0,90.0,-396.0,-116.0,48.0,reposo
6.0,56.0,90.0,-396.0,-134.0,36.0,reposo
7.0,56.0,90.0,-427.0,-128.0,30.0,reposo
6.0,55.0,90.0,-403.0,-122.0,24.0,reposo
6.0,56.0,89.0,-421.0,-116.0,54.0,reposo
