ax,ay,az,gx,gy,gz,label
-2.0,66.0,112.0,-201.0,-3279.0,861.0,hechizo1
0.0,68.0,128.0,-806.0,-4989.0,1374.0,hechizo1
-2.0,59.0,108.0,-1502.0,-7157.0,1789.0,hechizo1
0.0,59.0,76.0,-1398.0,-7090.0,1887.0,hechizo1
4.0,48.0,58.0,-928.0,-5600.0,2137.0,hechizo1
14.0,36.0,54.0,-586.0,-3639.0,1532.0,hechizo1
20.0,41.0,61.0,-494.0,-1929.0,751.0,hechizo1
20.0,26.0,61.0,-586.0,-769.0,-73.0,hechizo1
22.0,33.0,61.0,-806.0,537.0,-1245.0,hechizo1
17.0,29.0,66.0,-433.0,2094.0,-2369.0,hechizo1
12.0,36.0,81.0,-311.0,2687.0,-3560.0,hechizo1
5.0,37.0,72.0,-561.0,3425.0,-4299.0,hechizo1
-1.0,52.0,81.0,-225.0,4549.0,-4500.0,hechizo1
-4.0,54.0,107.0,195.0,4653.0,-5276.0,hechizo1
-7.0,76.0,123.0,189.0,3126.0,-4146.0,hechizo1
-7.0,71.0,115.0,18.0,1581.0,-3267.0,hechizo1
-5.0,83.0,114.0,635.0,580.0,-1899.0,hechizo1
-3.0,72.0,110.0,311.0,-616.0,-830.0,hechizo1
0.0,78.0,115.0,427.0,-1465.0,116.0,hechizo1
0.0,75.0,122.0,-67.0,-2815.0,1129.0,hechizo1
-1.0,75.0,125.0,-531.0,-4665.0,1697.0,hechizo1
-3.0,70.0,110.0,-2174.0,-6638.0,2766.0,hechizo1
-3.0,69.0,88.0,-1398.0,-6467.0,3352.0,hechizo1
2.0,54.0,84.0,-445.0,-5648.0,3438.0,hechizo1
8.0,47.0,77.0,-592.0,-5923.0,3566.0,hechizo1
14.0,39.0,59.0,-274.0,-4714.0,2833.0,hechizo1
21.0,38.0,57.0,48.0,-2809.0,2149.0,hechizo1
27.0,34.0,68.0,268.0,-1490.0,1422.0,hechizo1
30.0,42.0,68.0,-384.0,-775.0,580.0,hechizo1
32.0,43.0,75.0,-232.0,177.0,170.0,hechizo1
33.0,49.0,83.0,-665.0,464.0,-128.0,hechizo1

17.0,45.0,75.0,-622.0,3615.0,-2015.0,hechizo1
13.0,48.0,89.0,470.0,4378.0,-2088.0,hechizo1
10.0,59.0,103.0,812.0,4317.0,-2167.0,hechizo1
10.0,56.0,93.0,378.0,3200.0,-1306.0,hechizo1
8.0,55.0,95.0,525.0,3981.0,-1416.0,hechizo1
7.0,61.0,110.0,378.0,2961.0,-1618.0,hechizo1
5.0,68.0,103.0,-378.0,1941.0,-1135.0,hechizo1
3.0,66.0,97.0,-647.0,1551.0,-512.0,hechizo1
3.0,70.0,103.0,-18.0,1874.0,274.0,hechizo1
6.0,62.0,113.0,134.0,934.0,812.0,hechizo1
4.0,74.0,113.0,-1013.0,-561.0,1111.0,hechizo1
3.0,79.0,110.0,-1258.0,-1600.0,2235.0,hechizo1
3.0,68.0,103.0,-1148.0,-2369.0,3303.0,hechizo1
5.0,66.0,96.0,-1209.0,-2668.0,3859.0,hechizo1
7.0,54.0,98.0,-1074.0,-3035.0,4073.0,hechizo1
10.0,50.0,92.0,-1526.0,-3511.0,4006.0,hechizo1
13.0,43.0,81.0,-1361.0,-3138.0,3810.0,hechizo1
17.0,37.0,83.0,-1111.0,-2564.0,3334.0,hechizo1
19.0,38.0,82.0,-1062.0,-2186.0,2729.0,hechizo1
24.0,32.0,80.0,-995.0,-1618.0,2155.0,hechizo1
25.0,26.0,74.0,-763.0,-1007.0,1099.0,hechizo1
25.0,28.0,67.0,-793.0,-152.0,299.0,hechizo1
26.0,26.0,63.0,-464.0,1459.0,-708.0,hechizo1
